timestamp,response,url,clientip,"machine.os",tags
"Feb 20, 2023 @ 14:01:58.350",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","91.214.54.26",osx,"success, info"
"Feb 20, 2023 @ 14:01:11.992",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb","16.212.73.169",osx,"success, info"
"Feb 20, 2023 @ 14:00:55.672",200,"https://www.elastic.co/downloads","224.121.168.182",ios,"success, login"
"Feb 20, 2023 @ 13:58:55.949",404,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","25.210.185.214","win 8","success, info"
"Feb 20, 2023 @ 13:57:46.068",200,"https://www.elastic.co/downloads/enterprise","158.231.103.156","win xp","success, info"
"Feb 20, 2023 @ 13:57:45.238",200,"https://www.elastic.co/downloads/elasticsearch","30.156.16.163","win 7","success, info"
"Feb 20, 2023 @ 13:55:14.984",200,"https://www.elastic.co/downloads/beats/metricbeat","138.172.136.98",osx,"success, info"
"Feb 20, 2023 @ 13:55:07.966",200,"https://www.elastic.co/downloads/beats/filebeat","69.141.33.21","win 8","success, info"
"Feb 20, 2023 @ 13:54:30.310",200,"https://www.elastic.co/downloads/beats","91.181.185.142","win 8","success, info"
"Feb 20, 2023 @ 13:53:05.181",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz","103.201.131.77","win 7","success, info"
"Feb 20, 2023 @ 13:52:18.100",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","111.12.159.165","win 8","success, security"
"Feb 20, 2023 @ 13:52:09.656",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz","165.70.47.42",osx,"error, info"
"Feb 20, 2023 @ 13:50:31.955",404,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb","230.40.131.128",osx,"success, info"
"Feb 20, 2023 @ 13:47:21.239",200,"https://elastic-elastic-elastic.org/people/type:astronauts/name:vladimir-titov/profile","211.199.69.157","win xp","error, info"
"Feb 20, 2023 @ 13:38:32.412",200,"https://www.elastic.co/downloads","96.24.241.2",ios,"success, info"
"Feb 20, 2023 @ 13:30:23.689",200,"https://www.elastic.co/downloads/elasticsearch","122.62.233.59",osx,"success, info"
"Feb 20, 2023 @ 13:28:17.155",200,"https://www.elastic.co/downloads/elasticsearch","133.253.110.234","win 8","error, security"
"Feb 20, 2023 @ 13:13:45.311",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz","223.27.114.76","win 8","success, info"
"Feb 20, 2023 @ 13:13:15.309",200,"https://www.elastic.co/downloads","2.46.184.206","win 8","success, info"
"Feb 20, 2023 @ 13:10:09.422",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","236.124.71.64","win xp","success, security"
"Feb 20, 2023 @ 13:05:46.250",200,"https://www.elastic.co/downloads/beats","213.235.30.99",ios,"success, info"
"Feb 20, 2023 @ 13:05:32.596",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","64.251.200.8",osx,"error, info"
"Feb 20, 2023 @ 13:02:39.780",200,"https://cdn.elastic-elastic-elastic.org/styles/app.css","66.99.60.251","win 7","success, info"
"Feb 20, 2023 @ 12:57:32.867",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","61.231.10.118","win xp","success, info"
"Feb 20, 2023 @ 12:54:20.269",200,"https://cdn.elastic-elastic-elastic.org/styles/app.css","126.158.155.183","win 7","success, info"
"Feb 20, 2023 @ 12:48:22.747",200,"https://www.elastic.co/downloads","233.79.79.178",ios,"success, info"
"Feb 20, 2023 @ 12:47:46.255",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","80.147.97.247",ios,"success, info"
"Feb 20, 2023 @ 12:43:43.076",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","196.114.82.166","win 7","success, info"
"Feb 20, 2023 @ 12:40:29.320",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","138.77.47.65","win 8","error, info"
"Feb 20, 2023 @ 12:38:21.067",200,"https://www.elastic.co/downloads/beats","165.70.47.42",ios,"success, info"
"Feb 20, 2023 @ 12:37:28.608",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","36.189.17.177","win 7","success, info"
"Feb 20, 2023 @ 12:37:08.214",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","68.198.144.4","win 8","success, info"
"Feb 20, 2023 @ 12:35:54.738",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz","174.54.214.249","win xp","warning, security"
"Feb 20, 2023 @ 12:33:20.564",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz","19.78.44.48","win xp","success, info"
"Feb 20, 2023 @ 12:32:16.200",200,"https://www.elastic.co/downloads/beats/filebeat","55.232.19.193",osx,"success, login"
"Feb 20, 2023 @ 12:31:44.249",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz","218.142.37.50","win 8","error, info"
"Feb 20, 2023 @ 12:21:51.462",200,"https://www.elastic.co/downloads/elasticsearch","44.209.117.254","win 7","success, security"
"Feb 20, 2023 @ 12:20:03.043",200,"https://www.elastic.co/downloads/beats/metricbeat","37.68.248.33","win 8","error, info"
"Feb 20, 2023 @ 12:12:17.279",200,"https://www.elastic.co/downloads/enterprise","193.134.203.247","win 7","error, login"
"Feb 20, 2023 @ 12:11:57.757",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz","149.211.154.143","win xp","success, info"
"Feb 20, 2023 @ 12:11:19.579",200,"https://www.elastic.co/downloads/beats/filebeat","236.132.209.242","win xp","success, info"
"Feb 20, 2023 @ 12:10:05.895",200,"https://www.elastic.co/solutions/apm","225.72.201.213","win 8","success, info"
"Feb 20, 2023 @ 12:09:03.956",200,"https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","193.26.137.221","win 7","success, info"
"Feb 20, 2023 @ 12:07:50.436",200,"https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","142.81.2.152","win xp","success, info"
"Feb 20, 2023 @ 12:05:05.551",200,"https://www.elastic.co/downloads/apm","172.3.128.226","win 8","success, security"
"Feb 20, 2023 @ 12:04:34.143",200,"https://www.elastic.co/downloads/beats","37.68.248.33","win 8","success, info"
"Feb 20, 2023 @ 12:04:32.457",503,"https://cdn.elastic-elastic-elastic.org/styles/ad-blocker.css","213.63.205.151",ios,"success, security"
"Feb 20, 2023 @ 12:04:14.355",200,"https://www.elastic.co/downloads/elasticsearch","192.183.151.208","win 8","success, info"
"Feb 20, 2023 @ 12:02:38.027",503,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","110.244.93.59",ios,"success, info"
"Feb 20, 2023 @ 11:57:53.718",200,"https://www.elastic.co/solutions/app-search","15.46.26.238","win xp","warning, security"
"Feb 20, 2023 @ 11:55:49.844",200,"https://www.elastic.co/downloads/beats/metricbeat","41.49.184.237","win xp","success, info"
"Feb 20, 2023 @ 11:55:41.298",200,"https://cdn.elastic-elastic-elastic.org/styles/ad-blocker.css","20.126.170.212","win xp","error, info"
"Feb 20, 2023 @ 11:55:34.519",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","227.130.214.180","win xp","success, info"
"Feb 20, 2023 @ 11:47:36.188",200,"https://cdn.elastic-elastic-elastic.org/styles/app.css","214.231.202.172","win 8","success, info"
"Feb 20, 2023 @ 11:46:42.165",200,"https://www.elastic.co/solutions/metrics","149.234.232.186","win 7","success, info"
"Feb 20, 2023 @ 11:39:42.737",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","138.132.152.91","win 7","success, login"
"Feb 20, 2023 @ 11:38:38.866",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","167.94.220.213","win 8","warning, info"
"Feb 20, 2023 @ 11:34:36.086",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz","139.145.187.177","win 8","error, info"
"Feb 20, 2023 @ 11:30:33.821",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","52.244.4.148",osx,"success, security"
"Feb 20, 2023 @ 11:25:21.347",200,"https://www.elastic.co/downloads/beats","58.43.151.223",osx,"success, security"
"Feb 20, 2023 @ 11:22:03.612",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","110.223.68.215","win xp","success, info"
"Feb 20, 2023 @ 11:21:26.844",200,"https://www.elastic.co/downloads/enterprise","191.105.163.245",ios,"success, info"
"Feb 20, 2023 @ 11:18:05.269",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","214.24.169.116",ios,"success, info"
"Feb 20, 2023 @ 11:16:10.868",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz","89.37.17.210","win xp","success, info"
"Feb 20, 2023 @ 11:15:19.625",200,"https://www.elastic.co/solutions/metrics","210.149.94.60",osx,"success, info"
"Feb 20, 2023 @ 11:13:00.236",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","104.32.0.154",osx,"success, info"
"Feb 20, 2023 @ 11:10:52.414",200,"https://www.elastic.co/solutions/security-analytics","155.206.194.40",osx,"warning, info"
"Feb 20, 2023 @ 11:07:30.084",200,"https://www.elastic.co/downloads/enterprise","73.176.17.223","win 8","success, info"
"Feb 20, 2023 @ 11:05:40.315",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","52.105.119.80","win 8","error, info"
"Feb 20, 2023 @ 11:05:11.690",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz","215.67.92.140","win 8","warning, info"
"Feb 20, 2023 @ 10:59:23.540",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","119.73.170.50",ios,"success, login"
"Feb 20, 2023 @ 10:56:35.489",200,"https://cdn.elastic-elastic-elastic.org/styles/ad-blocker.css","32.208.36.11",ios,"warning, info"
"Feb 20, 2023 @ 10:54:46.979",404,"https://www.elastic.co/downloads/apm","254.160.84.19","win xp","success, info"
"Feb 20, 2023 @ 10:54:16.856",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","106.77.13.9","win 8","success, info"
"Feb 20, 2023 @ 10:53:17.621",200,"https://cdn.elastic-elastic-elastic.org/styles/ads.css","55.89.141.209","win 8","success, info"
"Feb 20, 2023 @ 10:48:09.569",200,"https://www.elastic.co/downloads/elasticsearch","58.18.233.37","win 8","success, info"
"Feb 20, 2023 @ 10:46:45.214",200,"https://www.elastic.co/downloads/apm","117.251.123.89","win xp","success, info"
"Feb 20, 2023 @ 10:46:02.657",200,"https://elastic-elastic-elastic.org/people/type:astronauts/name:ellen-s-baker/profile","32.150.70.211","win 7","success, info"
"Feb 20, 2023 @ 10:44:20.202",200,"https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","144.179.84.144","win 7","success, security"
"Feb 20, 2023 @ 10:38:24.132",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-amd64.deb","240.187.33.223","win 8","success, security"
"Feb 20, 2023 @ 10:32:54.329",200,"https://cdn.elastic-elastic-elastic.org/styles/ad-blocker.css","209.62.35.219","win 8","success, security"
"Feb 20, 2023 @ 10:32:03.438",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb","105.32.126.44","win xp","warning, info"
"Feb 20, 2023 @ 10:28:47.119",200,"https://www.elastic.co/solutions/site-search","153.95.253.45","win xp","success, info"
"Feb 20, 2023 @ 10:23:11.012",200,"https://www.elastic.co/solutions/security-analytics","171.66.145.103","win 7","success, security"
"Feb 20, 2023 @ 10:18:31.726",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz","162.149.224.222","win xp","success, info"
"Feb 20, 2023 @ 10:15:17.763",200,"https://www.elastic.co/downloads","42.41.204.189","win 8","success, security"
"Feb 20, 2023 @ 10:15:10.119",200,"https://elastic-elastic-elastic.org/people/type:astronauts/name:aleksandr-laveykin/profile","213.253.23.28",ios,"success, info"
